State,TotalArea,LandArea,WaterArea
Alabama,52420,50645,1775
Alaska,665384,570641,94743
Arizona,113990,113594,396
Arkansas,53179,52035,1143
California,163696,155779,7916
Colorado,104094,103642,452
Connecticut,5543,4842,701
Delaware,2489,1949,540
District of Columbia,68.34,68.34,0
Florida,65758,53625,12133
Georgia,59425,57513,1912
Hawaii,10932,6423,4509
Idaho,83569,82643,926
Illinois,57914,55519,2395
Indiana,36420,35826,593
Iowa,56273,55857,416
Kansas,82278,81759,520
Kentucky,40408,39486,921
Louisiana,52378,43204,9174
Maine,35380,30843,4537
Maryland,12406,9707,2699
Massachusetts,10554,7800,2754
Michigan,96714,56539,40175
Minnesota,86936,79627,7309
Mississippi,48432,46923,1509
Missouri,69707,68742,965
Montana,147040,145546,1494
Nebraska,77348,76824,524
Nevada,110572,109781,791
New Hampshire,9349,8953,397
New Jersey,8723,7354,1368
New Mexico,121590,121298,292
New York,54555,47126,7429
North Carolina,53819,48618,5201
North Dakota,70698,69001,1698
Ohio,44826,40861,3965
Oklahoma,69899,68595,1304
Oregon,98379,95988,2391
Pennsylvania,46054,44743,1312
Rhode Island,1545,1034,511
South Carolina,32020,30061,1960
South Dakota,77116,75811,1305
Tennessee,42144,41235,909
Texas,268596,261232,7365
Utah,84897,82170,2727
Vermont,9616,9217,400
Virginia,42775,39490,3285
Washington,71298,66456,4842
West Virginia,24230,24038,192
Wisconsin,65496,54158,11339
Wyoming,97813,97093,720
Puerto Rico,3515,3478,37